IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
129.154.202.4,2053,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,335,12.30
129.154.202.4,8443,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,328,10.10
121.159.187.248,10038,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,216,7.78
125.133.233.48,30100,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,423,7.45
112.170.99.139,12108,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,420,7.22
125.143.17.8,11434,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,331,7.14
140.238.1.158,443,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,294,7.08
59.22.136.160,10042,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,456,6.63
221.157.238.95,12200,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,368,6.55
183.96.160.117,12320,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,536,6.51
222.97.154.21,30017,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,403,6.47
112.161.69.177,30001,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,475,6.37
125.133.233.48,30051,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,385,6.36
175.208.110.53,30065,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,440,6.27
222.119.56.43,10380,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,222,6.16
218.148.112.216,30001,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,546,6.07
112.165.29.47,30050,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,504,6.06
58.127.73.204,30009,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,260,6.06
125.133.233.48,30059,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,450,6.01
118.33.22.133,16053,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,390,5.71
61.81.133.208,10018,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,456,5.56
58.228.86.95,30052,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,324,5.56
118.33.229.115,12309,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,324,5.46
121.190.128.166,12345,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,332,5.38
125.133.233.48,30046,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,247,5.34
61.81.112.29,18245,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,491,5.32
59.23.21.147,30012,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,387,5.32
168.126.198.169,30061,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,420,5.18
175.112.2.137,30060,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,331,5.13
58.233.151.254,30065,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,239,5.08
61.81.181.169,12501,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,268,5.05
175.125.207.253,12506,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,401,5.00
220.83.246.53,12132,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,475,4.92
45.112.155.186,12314,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,421,4.87
114.201.80.59,30012,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,407,4.83
121.157.89.191,30012,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,238,4.83
220.88.191.218,30031,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,252,4.73
218.149.151.5,12230,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,460,4.62
121.168.235.70,33338,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,368,4.58
27.116.125.190,30058,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,327,4.56
221.157.238.95,12500,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,355,4.52
210.103.86.17,10083,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,487,4.45
211.206.53.72,30061,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,316,4.41
211.248.216.119,30009,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,502,4.31
220.88.191.218,30025,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,445,4.24
119.203.175.63,12220,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,542,4.15
210.204.129.145,12504,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,558,4.12
125.133.233.48,30087,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,405,4.09
61.80.73.120,30012,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,393,4.09
220.87.237.210,12426,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,386,4.07
