IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
14.119.112.77,26207,TRUE,NRT,JP,Asia Pacific,Tokyo,4134,Chinanet,521,23.21
172.84.92.152,58723,TRUE,NRT,JP,Asia Pacific,Tokyo,11161,DIGITALVIRT,272,12.79
203.156.198.110,27912,TRUE,NRT,JP,Asia Pacific,Tokyo,4812,China Telecom Group,236,11.04
203.156.198.110,25506,TRUE,NRT,JP,Asia Pacific,Tokyo,4812,China Telecom Group,257,10.68
140.238.12.52,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,455,9.35
111.65.150.65,30032,TRUE,NRT,JP,Asia Pacific,Tokyo,17573,SK Broadband Co Ltd,375,2.80
131.186.28.236,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,509,2.59
14.39.251.200,12442,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,484,2.56
61.77.9.219,12487,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,414,1.99
140.238.8.194,15800,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,659,1.72
61.77.9.219,12503,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,383,1.27
146.56.46.84,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,626,0.50
152.70.234.188,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,583,0.33
172.84.92.174,8526,TRUE,NRT,JP,Asia Pacific,Tokyo,11161,DIGITALVIRT,273,0.07
38.47.121.241,31981,TRUE,NRT,JP,Asia Pacific,Tokyo,49901,Kuiper Network Ltd,315,0.01
