IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
47.236.171.205,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",499,11.60
47.236.75.113,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",483,11.10
47.237.95.13,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",477,9.97
47.237.0.31,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",516,9.50
8.219.114.201,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",498,9.43
47.236.166.131,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",490,9.31
47.236.205.188,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",449,9.28
47.236.165.25,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",462,8.68
47.237.14.220,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",455,8.51
8.222.184.198,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",494,8.48
47.236.123.133,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",499,8.27
47.236.171.205,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",472,8.16
8.222.137.192,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",463,7.81
47.245.96.80,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",515,7.72
8.222.184.198,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",493,7.50
8.219.111.147,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",457,7.39
47.236.205.188,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",488,7.39
47.236.10.100,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",485,7.30
8.222.183.242,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",520,6.91
8.222.137.192,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",645,6.70
47.236.169.15,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",452,6.57
47.236.172.71,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",466,6.49
8.219.191.40,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",493,6.48
47.236.254.120,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",448,6.44
47.236.144.196,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",474,6.44
47.237.82.15,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",494,6.38
8.219.191.110,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",486,6.37
47.236.170.54,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",510,6.24
47.237.95.156,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",520,6.24
47.236.17.193,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",562,6.23
8.222.184.198,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",506,6.11
47.237.0.31,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",471,6.02
47.237.14.220,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",473,5.70
47.236.102.102,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",476,5.61
8.219.191.40,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",509,5.54
47.237.0.31,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",482,5.41
47.237.95.146,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",445,5.38
8.219.114.201,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",477,5.33
47.236.202.91,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",463,5.28
47.237.95.13,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",455,5.20
8.222.183.242,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",549,5.10
8.222.156.242,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",489,5.02
47.236.168.17,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",458,4.96
8.222.214.231,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",436,4.87
47.236.172.95,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",457,4.78
47.236.9.152,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",493,4.67
47.237.95.140,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",468,4.63
47.237.95.13,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",466,4.63
47.236.168.17,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",511,4.58
47.237.95.156,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",448,4.37
47.237.121.38,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",490,4.33
47.236.202.91,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",440,4.32
47.236.83.239,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",506,4.31
47.237.14.220,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",519,4.27
47.237.82.15,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",463,4.20
8.219.209.14,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",472,4.18
47.236.150.13,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",565,4.12
8.222.156.242,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",439,4.10
8.219.237.250,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",447,4.04
8.219.189.143,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",444,4.02
8.222.156.242,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",493,3.97
8.219.177.205,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",506,3.96
47.237.11.182,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",493,3.75
47.237.95.140,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",466,3.74
47.236.202.91,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",453,3.72
47.245.96.80,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",447,3.72
47.236.164.215,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",493,3.67
