IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
43.153.80.208,443,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",583,15.33
43.153.16.136,4333,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",500,14.18
43.153.27.246,4333,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",513,10.43
13.52.251.56,8444,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,647,8.81
192.18.134.22,443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,588,7.77
54.153.96.188,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,576,7.73
50.18.133.190,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,562,7.64
54.183.53.183,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,617,7.50
13.57.241.143,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,626,7.46
13.56.59.26,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,655,7.39
13.56.251.164,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,630,7.11
150.230.34.116,443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,645,7.09
52.53.250.40,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,603,6.87
13.56.207.185,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,544,6.38
3.101.110.90,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,645,6.33
13.56.210.252,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,654,5.92
152.67.234.175,44333,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,541,5.85
3.101.73.167,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,633,5.70
43.153.4.246,443,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",503,5.44
54.193.109.100,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,594,4.95
204.236.186.113,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,634,4.29
146.235.233.175,12528,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,624,3.85
64.23.181.202,443,TRUE,SJC,US,North America,San Jose,14061,DIGITALOCEAN-ASN,642,3.34
192.9.141.240,4443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,532,3.22
192.9.241.4,34237,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,649,2.99
192.227.148.141,8445,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,585,2.91
104.168.96.230,443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,594,2.86
170.106.155.178,444,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",553,2.57
152.67.254.70,443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,646,2.55
43.153.103.203,443,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",503,2.48
43.153.119.207,443,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",620,2.39
107.173.147.116,10324,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,628,2.25
24.199.115.220,443,TRUE,SJC,US,North America,San Jose,14061,DIGITALOCEAN-ASN,659,2.23
104.168.28.65,443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,578,2.12
54.219.130.94,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,583,2.07
54.177.87.111,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,587,1.96
198.23.254.51,443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,635,1.95
43.153.27.243,2020,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",514,1.92
54.176.142.183,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,634,1.47
146.190.155.154,443,TRUE,SJC,US,North America,San Jose,14061,DIGITALOCEAN-ASN,655,1.43
23.94.255.55,3306,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,601,1.22
49.51.197.141,443,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",696,1.17
107.172.30.7,49710,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,612,1.11
23.94.208.154,53485,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,592,0.92
173.249.207.151,443,TRUE,SJC,US,North America,San Jose,11878,TZULO,594,0.88
107.172.103.195,16013,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,599,0.80
65.75.194.96,23190,TRUE,SJC,US,North America,San Jose,906,DMIT,648,0.63
192.9.250.241,443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,678,0.63
173.249.197.84,443,TRUE,SJC,US,North America,San Jose,11878,TZULO,607,0.57
138.2.231.22,33333,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,602,0.56
107.173.244.150,8181,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,720,0.54
107.174.186.62,8443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,589,0.52
107.173.146.46,2053,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,656,0.50
149.129.8.215,443,TRUE,SJC,US,North America,San Jose,45102,"Alibaba US Technology Co., Ltd.",675,0.43
155.248.202.141,443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,582,0.32
192.169.127.184,443,TRUE,SJC,US,North America,San Jose,21859,ZEN-ECN,490,0.28
107.172.103.195,16001,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,547,0.23
47.57.245.232,443,TRUE,SJC,US,North America,San Jose,45102,"Alibaba US Technology Co., Ltd.",711,0.22
23.94.223.102,2053,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,647,0.20
107.172.103.195,16086,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,547,0.20
107.172.103.195,16090,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,548,0.16
107.172.103.195,16067,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,532,0.15
107.173.34.130,2053,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,636,0.15
165.1.65.220,55200,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,538,0.14
107.172.103.195,16061,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,635,0.14
107.172.103.195,16070,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,635,0.12
107.172.103.195,16100,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,534,0.12
47.57.233.126,443,TRUE,SJC,US,North America,San Jose,45102,"Alibaba US Technology Co., Ltd.",693,0.11
107.173.86.75,2053,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,624,0.11
198.23.246.215,2053,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,558,0.10
107.173.34.130,8443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,573,0.10
107.172.103.195,16035,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,647,0.09
198.23.246.215,8443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,577,0.09
104.168.87.41,16443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,635,0.08
107.172.103.195,16075,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,576,0.08
104.168.102.121,2053,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,629,0.07
107.172.103.195,16000,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,547,0.07
156.146.53.83,443,TRUE,SJC,US,North America,San Jose,60068,Datacamp Limited,587,0.06
107.172.103.195,16088,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,621,0.06
198.23.246.141,443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,592,0.05
152.67.233.64,443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,586,0.05
184.169.181.217,443,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,497,0.05
65.75.195.188,50795,TRUE,SJC,US,North America,San Jose,906,DMIT,525,0.05
